name;sku;ean;slug;available;shopUrl
Regen- und Windschutz: WagonPro;WP-RS-0;4270001182562;regen-und-windschutz-wagonpro;true;https://elvent.shop/product/regen-und-windschutz-wagonpro/WP-RS-0
Schattennetz AllRounder;AR-SN-0;4260706043428;schattennetz-allrounder;true;https://elvent.shop/product/schattennetz-allrounder/AR-SN-0
Schattennetz SmartCruiser;SC-SN-0;4260706043411;schattennetz-smartcruiser;true;https://elvent.shop/product/schattennetz-smartcruiser/SC-SN-0
Schattennetz WagonPro;WP-SN-0;4260706043404;schattennetz-wagonpro;false;https://elvent.shop/product/schattennetz-wagonpro/WP-SN-0
Schiebegriff AllRounder ohne Leder;AR-SG-0;4260706041462;schiebegriff-allrounder-ohne-leder;true;https://elvent.shop/product/schiebegriff-allrounder-ohne-leder/AR-SG-0
Schiebegriff SmartCruiser ohne Leder;SB-SC-1;4260706041455;schiebegriff-smartcruiser-ohne-leder;true;https://elvent.shop/product/schiebegriff-smartcruiser-ohne-leder/SB-SC-1
Schiebegriff WagonPro ohne Leder;SB-WP-1;4260706041448;schiebegriff-wagonpro-ohne-leder;true;https://elvent.shop/product/schiebegriff-wagonpro-ohne-leder/SB-WP-1
Sitzerhöhung (Größe L);AR-SE-BLACK;4260706040861;sitzerhoehung-groesse-l;true;https://elvent.shop/product/sitzerhoehung-groesse-l/AR-SE-BLACK
Sitzerhöhung (Größe M);SC-SE-BLACK;4260706041349;sitzerhoehung-groesse-m;false;https://elvent.shop/product/sitzerhoehung-groesse-m/SC-SE-BLACK
Sitzerhöhung (Größe XL);WP-SE-BLACK;4260706040755;sitzerhoehung-groesse-xl;true;https://elvent.shop/product/sitzerhoehung-groesse-xl/WP-SE-BLACK
Sitzpolster AllRounder;AR-SP-0;;sitzpolster-allrounder;false;https://elvent.shop/product/sitzpolster-allrounder/AR-SP-0
Sitzpolster SmartCruiser;SP-SC-0;;sitzpolster-smartcruiser;false;https://elvent.shop/product/sitzpolster-smartcruiser/SP-SC-0
